rank,check,rule_id,rule,table,count,table_rows,pct_of_table,tier,top_channel_changed,max_abs_delta_pp,scenario,mechanism,materiality,note,evidence_csv,identifier_sensitive,same_defect_as
97,2. Referential integrity,R2.9.Interviews.Interviewer,"Interviews.Interviewer links a person whose Role is not in ['Hiring Manager', 'Interviewer']",Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
98,3. Duplicates,R3.5.Departments,Departments.Code used by more than one record,Departments,0,8.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
99,3. Duplicates,R3.5.Job Openings,Job Openings.Req ID used by more than one record,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
100,3. Duplicates,R3.5.Candidates,Candidates.Candidate ID used by more than one record,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
101,3. Duplicates,R3.5.Interviews,Interviews.Interview ID used by more than one record,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
102,3. Duplicates,R3.5.Offers,Offers.Offer ID used by more than one record,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
103,3. Duplicates,R3.6,Applications with more than one Offer record,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_3_duplicates.csv,False,
104,4. Categorical hygiene,R4.1,case variants (all 16 enum-like fields),(enum-like fields),0,,,PASS,False,0.0,,,Nothing found.,,audit_4_categorical_hygiene.csv,False,
105,4. Categorical hygiene,R4.2,"leading, trailing or repeated whitespace (all 16 enum-like fields)",(enum-like fields),0,,,PASS,False,0.0,,,Nothing found.,,audit_4_categorical_hygiene.csv,False,
106,4. Categorical hygiene,R4.3,synonym variants (declared SYNONYMS) (all 16 enum-like fields),(enum-like fields),0,,,PASS,False,0.0,,,Nothing found.,,audit_4_categorical_hygiene.csv,False,
107,4. Categorical hygiene,R4.4,"near-duplicate spellings (similarity >= 0.85, for review) (all 16 enum-like fields)",(enum-like fields),0,,,PASS,False,0.0,,,Nothing found.,,audit_4_categorical_hygiene.csv,False,
108,5. Temporal logic,R5.1,Offer dated before its application (Offers.Offered On < Applications.Applied On),Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
109,5. Temporal logic,R5.2,Interview held after its offer was accepted (interview date > Offers.Decision On),Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
110,5. Temporal logic,R5.3,Hire closed before its requisition opened (Closed On < Job Openings.Opened On),Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
111,5. Temporal logic,R5.4,Backward-looking date later than the snapshot day 2026-09-14 (all tables),all tables,0,,,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
112,5. Temporal logic,R5.6,Date before 2000-01-01 (epoch / default values) (all tables),all tables,0,,,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
113,5. Temporal logic,R5.7,Application pipeline dates out of order,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
114,5. Temporal logic,R5.12,Offer decided before it was made,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
115,5. Temporal logic,R5.15,Requisition target close before it opened,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_5_temporal_logic.csv,False,
116,6. State-machine contradictions,R6.1,Application Rejected/Withdrawn but its offer is Accepted,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
117,6. State-machine contradictions,R6.3,Offer Accepted but the application is not at Stage Hired,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
118,6. State-machine contradictions,R6.4,Application at Stage Hired without an Accepted offer,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
119,6. State-machine contradictions,R6.7,Offer Accepted/Declined with no Decision On,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
120,6. State-machine contradictions,R6.8,"Decline Reason missing on a Declined offer, or present on a non-Declined one",Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
121,6. State-machine contradictions,R6.10,Application Rejected/Withdrawn with no Rejection Reason,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
122,6. State-machine contradictions,R6.11,Application at Stage Offer/Hired with no Offer record,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
123,6. State-machine contradictions,R6.12,Offer record on an application that is not at Stage Offer/Hired,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
124,6. State-machine contradictions,R6.22,Recommendation contradicts Score,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
125,6. State-machine contradictions,R6.23,"Interviews exist before Stage Interview, or Stage Interview+ has none",Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_6_state_machine_contradictions.csv,False,
126,7. Outliers,R7.1.Offers.Base CTC,Offers.Base CTC at or below zero,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
127,7. Outliers,R7.2.Offers.Base CTC,"Offers.Base CTC at least 10x above or below its median (1,705,000)",Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
128,7. Outliers,R7.1.Candidates.Current CTC,Candidates.Current CTC at or below zero,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
129,7. Outliers,R7.2.Candidates.Current CTC,"Candidates.Current CTC at least 10x above or below its median (1,320,000)",Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
130,7. Outliers,R7.1.Candidates.Expected CTC,Candidates.Expected CTC at or below zero,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
131,7. Outliers,R7.2.Candidates.Expected CTC,"Candidates.Expected CTC at least 10x above or below its median (1,635,000)",Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
132,7. Outliers,R7.1.Job Openings.Salary Band Min,Job Openings.Salary Band Min at or below zero,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
133,7. Outliers,R7.2.Job Openings.Salary Band Min,"Job Openings.Salary Band Min at least 10x above or below its median (800,000)",Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
134,7. Outliers,R7.1.Job Openings.Salary Band Max,Job Openings.Salary Band Max at or below zero,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
135,7. Outliers,R7.2.Job Openings.Salary Band Max,"Job Openings.Salary Band Max at least 10x above or below its median (1,600,000)",Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
136,7. Outliers,R7.3.Offers.Joining Bonus,Offers.Joining Bonus negative,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
137,7. Outliers,R7.3.Candidates.Notice Period Days,Candidates.Notice Period Days negative,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
138,7. Outliers,R7.3.Candidates.Years Experience,Candidates.Years Experience negative,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
139,7. Outliers,R7.5,Requisition Salary Band Min above Max,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
140,7. Outliers,R7.6.time to hire,Negative duration: time to hire (Applied On -> Closed On),Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
141,7. Outliers,R7.7.time to hire,Duration over 365 days: time to hire (Applied On -> Closed On),Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
142,7. Outliers,R7.6.offer decision,Negative duration: offer decision (Offered On -> Decision On),Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
143,7. Outliers,R7.7.offer decision,Duration over 45 days: offer decision (Offered On -> Decision On),Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
144,7. Outliers,R7.8,Years Experience > 50 or Notice Period > 180 days,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
145,7. Outliers,R7.10,Application with more than 8 interviews,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
146,7. Outliers,R7.11,Hire with zero interviews,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
147,7. Outliers,R7.12,Interviewer with more than 6 interviews on one day,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_7_outliers.csv,False,
148,8. Test and synthetic records,R8.1.Job Openings,Test/dummy tokens in Job Openings text fields,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_8_test_and_synthetic_records.csv,False,
149,8. Test and synthetic records,R8.1.Departments,Test/dummy tokens in Departments text fields,Departments,0,8.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_8_test_and_synthetic_records.csv,False,
150,3. Duplicates,R3.1,"Candidates sharing a normalised email (lower-case, trimmed, +tag removed)",Candidates,0,300.0,0.0,NOT TESTABLE,False,0.0,,,Could not have fired: it inspects placeholder identifiers (Candidates.Email).,,audit_3_duplicates.csv,True,
151,8. Test and synthetic records,R8.1.Candidates,Test/dummy tokens in Candidates text fields,Candidates,0,300.0,0.0,NOT TESTABLE,False,0.0,,,"Could not have fired: it inspects placeholder identifiers (Candidates.Email, Candidates.Full Name); it also inspects Candidates.Current Company, Candidates.Notes, which could have fired and did not.",,audit_8_test_and_synthetic_records.csv,True,
152,8. Test and synthetic records,R8.1.People,Test/dummy tokens in People text fields,People,0,14.0,0.0,NOT TESTABLE,False,0.0,,,"Could not have fired: it inspects placeholder identifiers (People.Full Name, People.Work Email).",,audit_8_test_and_synthetic_records.csv,True,
153,8. Test and synthetic records,R8.3,Candidate phone is a placeholder (<=2 distinct digits or a run like 1234567890),Candidates,0,300.0,0.0,NOT TESTABLE,False,0.0,,,Could not have fired: it inspects placeholder identifiers (Candidates.Phone).,,audit_8_test_and_synthetic_records.csv,True,
